code,date,opponent,gf,ga,result,tournament,neutral
NED,2024-10-11,HUN,1,1,D,UEFA Nations League,False
NED,2024-10-14,GER,0,1,L,UEFA Nations League,False
NED,2024-11-16,HUN,4,0,W,UEFA Nations League,False
NED,2024-11-19,BIH,1,1,D,UEFA Nations League,False
NED,2025-03-20,ESP,2,2,D,UEFA Nations League,False
NED,2025-03-23,ESP,3,3,D,UEFA Nations League,False
NED,2025-06-07,FIN,2,0,W,FIFA World Cup qualification,False
NED,2025-06-10,MAL,8,0,W,FIFA World Cup qualification,False
NED,2025-09-04,POL,1,1,D,FIFA World Cup qualification,False
NED,2025-09-07,LIT,3,2,W,FIFA World Cup qualification,False
NED,2025-10-09,MAL,4,0,W,FIFA World Cup qualification,False
NED,2025-10-12,FIN,4,0,W,FIFA World Cup qualification,False
NED,2025-11-14,POL,1,1,D,FIFA World Cup qualification,False
NED,2025-11-17,LIT,4,0,W,FIFA World Cup qualification,False
JPN,2024-06-11,SYR,5,0,W,FIFA World Cup qualification,False
JPN,2024-09-05,CHI,7,0,W,FIFA World Cup qualification,False
JPN,2024-09-10,BAH,5,0,W,FIFA World Cup qualification,False
JPN,2024-10-10,KSA,2,0,W,FIFA World Cup qualification,False
JPN,2024-10-15,AUS,1,1,D,FIFA World Cup qualification,False
JPN,2024-11-15,IND,4,0,W,FIFA World Cup qualification,False
JPN,2024-11-19,CHI,3,1,W,FIFA World Cup qualification,False
JPN,2025-03-20,BAH,2,0,W,FIFA World Cup qualification,False
JPN,2025-03-25,KSA,0,0,D,FIFA World Cup qualification,False
JPN,2025-06-05,AUS,0,1,L,FIFA World Cup qualification,False
JPN,2025-06-10,IND,6,0,W,FIFA World Cup qualification,False
JPN,2025-10-10,PAR,2,2,D,Kirin Cup,False
JPN,2025-10-14,BRA,3,2,W,Kirin Cup,False
JPN,2025-11-14,GHA,2,0,W,Kirin Cup,False
JPN,2025-11-18,BOL,3,0,W,Kirin Cup,False
SWE,2023-11-19,EST,2,0,W,UEFA Euro qualification,False
SWE,2024-09-05,AZE,3,1,W,UEFA Nations League,False
SWE,2024-09-08,EST,3,0,W,UEFA Nations League,False
SWE,2024-10-11,SLO,2,2,D,UEFA Nations League,False
SWE,2024-10-14,EST,3,0,W,UEFA Nations League,False
SWE,2024-11-16,SLO,2,1,W,UEFA Nations League,False
SWE,2024-11-19,AZE,6,0,W,UEFA Nations League,False
SWE,2025-09-05,SLO,2,2,D,FIFA World Cup qualification,False
