fixture_id,competition,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books
11855393,AFCON,2019,2019-06-24,Mali,Mauritania,4,1,0,0.5504103651242939,0.2784620486279712,0.171127586247735,28
11855398,AFCON,2019,2019-06-25,Cameroon,Guinea-Bissau,2,0,0,0.6333225211690795,0.24666245561322045,0.12001502321770009,28
11855399,AFCON,2019,2019-06-25,Ghana,Benin,2,2,1,0.5689445417361172,0.2741230212230745,0.15693243704080814,28
11855376,AFCON,2019,2019-06-26,Nigeria,Guinea,1,0,0,0.4575960028010675,0.2987489827204421,0.24365501447849042,27
11855370,AFCON,2019,2019-06-26,Uganda,Zimbabwe,1,1,1,0.40832262946970005,0.3354078742072536,0.2562694963230464,27
11855371,AFCON,2019,2019-06-26,Egypt,Congo DR,2,0,0,0.6895611883346962,0.20387026437721456,0.10656854728808941,27
11855377,AFCON,2019,2019-06-27,Madagascar,Burundi,1,0,0,0.29455232152387206,0.32842070692557157,0.3770269715505562,27
11855382,AFCON,2019,2019-06-27,Senegal,Algeria,0,1,2,0.4701549127938468,0.30484237894052646,0.22500270826562666,27
11855383,AFCON,2019,2019-06-27,Kenya,Tanzania,3,2,0,0.4271554436752675,0.31324732536186284,0.25959723096286974,27
11855394,AFCON,2019,2019-06-28,Tunisia,Mali,1,1,1,0.38272234978740455,0.32333439895832455,0.29394325125427084,27
11855388,AFCON,2019,2019-06-28,Morocco,Côte d'Ivoire,1,0,0,0.41946833463643474,0.32544956997654423,0.2550820953870211,26
11855389,AFCON,2019,2019-06-28,South Africa,Namibia,1,0,0,0.5672377241734945,0.261559617257778,0.17120265856872743,27
11855395,AFCON,2019,2019-06-29,Mauritania,Angola,0,0,1,0.19968304278922347,0.30110935023771795,0.4992076069730587,25
11855400,AFCON,2019,2019-06-29,Cameroon,Ghana,0,0,1,0.312938816449348,0.3259779338014042,0.3610832497492477,27
11855401,AFCON,2019,2019-06-29,Benin,Guinea-Bissau,0,0,1,0.5730906798591221,0.2663660906387469,0.160543229502131,27
