fixture_id,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books,ou_line,p_over_mkt,p_under_mkt,settle_label,last_update
18494065,2022,2022-11-26,Argentina,Mexico,2,0,0,0.6238189096376974,0.23938796659419262,0.13679312376811006,35,2.5,0.44010416666666663,0.5598958333333334,1,2022-11-26 20:55:41
18494074,2022,2022-11-27,Japan,Costa Rica,0,1,2,0.6465838477392695,0.22497314466928112,0.12844300759144947,35,2.5,0.4684210526315789,0.531578947368421,2,2022-11-27 11:50:27
18494077,2022,2022-11-27,Belgium,Morocco,0,2,2,0.5050146368502191,0.280720865675223,0.2142644974745579,35,2.5,0.4215938303341903,0.5784061696658098,2,2022-11-27 14:55:14
18494078,2022,2022-11-27,Croatia,Canada,4,1,0,0.4306708423699448,0.29418131386500845,0.27514784376504675,35,2.5,0.43376623376623374,0.5662337662337663,1,2022-11-27 17:55:17
18494073,2022,2022-11-27,Spain,Germany,1,1,1,0.38049560351718625,0.2797761790567546,0.33972821742605913,35,2.5,0.5263157894736842,0.47368421052631576,X,2022-11-27 20:50:39
18494082,2022,2022-11-28,Cameroon,Serbia,3,3,1,0.18344983151856079,0.2554095073658414,0.5611406611155978,35,2.5,0.4750656167979003,0.5249343832020998,X,2022-11-28 12:00:51
18494086,2022,2022-11-28,Korea Republic,Ghana,2,3,2,0.3527021535960991,0.30719219829337663,0.34010564811052413,35,2.5,0.3924050632911393,0.6075949367088608,2,2022-11-28 15:00:43
18494081,2022,2022-11-28,Brazil,Switzerland,1,0,0,0.6467896683383078,0.225234990386046,0.12797534127564617,35,2.5,0.4710526315789474,0.5289473684210526,1,2022-11-28 17:50:40
18494085,2022,2022-11-28,Portugal,Uruguay,2,0,0,0.49459729472618225,0.28494709815568103,0.2204556071181366,35,2.5,0.4186046511627907,0.5813953488372093,1,2022-11-28 20:55:30
18494100,2022,2022-11-29,Netherlands,Qatar,2,0,0,0.7934857685555587,0.13850116556825048,0.06801306587619074,35,2.5,0.6399026763990268,0.3600973236009733,1,2022-11-29 16:50:39
18494101,2022,2022-11-29,Ecuador,Senegal,1,2,2,0.38684536997855823,0.3120078310576097,0.30114679896383206,35,2.5,0.36519953440395186,0.6348004655960481,2,2022-11-29 16:55:35
18494063,2022,2022-11-29,Wales,England,0,3,2,0.11321252638986629,0.21384588318085854,0.6729415904292753,35,2.5,0.47368421052631576,0.5263157894736842,2,2022-11-29 20:50:42
18494064,2022,2022-11-29,Iran,United States,0,1,2,0.23397326019883444,0.274082961947206,0.4919437778539596,35,2.5,0.4296752094360532,0.5703247905639468,2,2022-11-29 21:00:57
18494071,2022,2022-11-30,Tunisia,France,1,0,0,0.15956223602747402,0.24579589057821297,0.5946418733943132,35,2.5,0.4578947368421053,0.5421052631578948,1,2022-11-30 16:55:38
18494072,2022,2022-11-30,Australia,Denmark,1,0,0,0.12694487769619964,0.20257161334499943,0.6704835089588009,35,2.5,0.49868766404199477,0.5013123359580053,1,2022-11-30 16:50:47
18494067,2022,2022-11-30,Poland,Argentina,0,2,2,0.11440610165875513,0.21355805642967624,0.6720358419115687,35,2.5,0.4618415736606734,0.5381584263393266,2,2022-11-30 20:55:35
18494068,2022,2022-11-30,Saudi Arabia,Mexico,1,2,2,0.17400310719834286,0.22786121180735372,0.5981356809943036,35,2.5,0.5013192612137204,0.4986807387862796,2,2022-11-30 20:55:35
18494079,2022,2022-12-01,Croatia,Belgium,0,0,1,0.3221730890713834,0.2804801010739103,0.3973468098547063,35,2.5,0.4750656167979003,0.5249343832020998,X,2022-12-01 16:50:38
18494080,2022,2022-12-01,Canada,Morocco,1,2,2,0.20529224736709725,0.27589854053670587,0.5188092120961969,35,2.5,0.41688447171525683,0.5831155282847432,2,2022-12-01 16:55:14
18494075,2022,2022-12-01,Japan,Spain,2,1,0,0.13579526022072255,0.21313157433745694,0.6510731654418205,35,2.5,0.4947089947089948,0.5052910052910053,1,2022-12-01 20:50:43
18494076,2022,2022-12-01,Costa Rica,Germany,2,4,2,0.04133627525339585,0.08643039371164588,0.8722333310349583,35,2.5,0.7008928571428572,0.2991071428571429,2,2022-12-01 20:55:36
18494087,2022,2022-12-02,Korea Republic,Portugal,2,1,0,0.22545855326021685,0.2540162809200364,0.5205251658197466,35,2.5,0.4804177545691906,0.5195822454308094,1,2022-12-02 16:50:41
18494088,2022,2022-12-02,Ghana,Uruguay,0,2,2,0.21221057915542446,0.2513020016314237,0.5364874192131518,35,2.5,0.47368421052631576,0.5263157894736842,2,2022-12-02 17:00:54
18494083,2022,2022-12-02,Cameroon,Brazil,1,0,0,0.10603662672394303,0.18177707438390234,0.7121862988921546,35,2.5,0.5699481865284974,0.43005181347150256,1,2022-12-02 20:55:24
18494084,2022,2022-12-02,Serbia,Switzerland,2,3,2,0.37426433915211976,0.2848877805486284,0.3408478802992519,35,2.5,0.4901493905319132,0.5098506094680868,2,2022-12-02 21:00:31
18452333,2022,2022-12-03,Netherlands,United States,3,1,0,0.4924711096712379,0.2880209823228755,0.2195079080058866,35,2.5,0.41025641025641024,0.5897435897435896,1,2022-12-03 16:50:21
18452334,2022,2022-12-03,Argentina,Australia,2,1,0,0.745076831159921,0.15757601516891537,0.09734715367116353,35,2.5,0.5329815303430079,0.467018469656992,1,2022-12-03 20:55:32
18452335,2022,2022-12-04,France,Poland,3,1,0,0.6972913711491798,0.1957906186079459,0.10691801024287421,35,2.5,0.5459317585301837,0.4540682414698162,1,2022-12-04 16:55:14
18452336,2022,2022-12-04,England,Senegal,3,0,0,0.5973853639357153,0.25556593109549314,0.14704870496879147,35,2.5,0.40458015267175573,0.5954198473282442,1,2022-12-04 20:50:33
18452338,2022,2022-12-05,Japan,Croatia,1,1,1,0.2513349291106611,0.2938685324986191,0.45479653839072,35,2.5,0.41175536139793484,0.5882446386020651,X,2022-12-05 16:50:29
